area_code,area_name,region,latitude,longitude,aliases
603,Nicobars,IN-AN,7.024826,93.799023,
632,North And Middle Andaman,IN-AN,12.842528,92.870475,
602,South Andamans,IN-AN,11.523693,92.648491,
745,Alluri Sitharama Raju,IN-AP,15.753511,79.962484,
744,Anakapalli,IN-AP,15.753511,79.962484,
502,Ananthapuramu,IN-AP,14.493043,77.566974,
753,Annamayya,IN-AP,15.753511,79.962484,
750,Bapatla,IN-AP,15.753511,79.962484,
503,Chittoor,IN-AP,13.464938,79.005997,
747,Dr. B.R. Ambedkar Konaseema,IN-AP,15.753511,79.962484,
505,East Godavari,IN-AP,17.272008,81.893276,
748,Eluru,IN-AP,15.753511,79.962484,
506,Guntur,IN-AP,16.293106,80.078833,
746,Kakinada,IN-AP,15.753511,79.962484,
510,Krishna,IN-AP,16.555707,80.797994,
511,Kurnool,IN-AP,15.535569,78.012995,
790,Markapuram,IN-AP,15.753511,79.962484,
755,Nandyal,IN-AP,15.753511,79.962484,
749,Ntr,IN-AP,15.753511,79.962484,Vijaywada;Vijayawada
751,Palnadu,IN-AP,15.753511,79.962484,
743,Parvathipuram Manyam,IN-AP,15.753511,79.962484,
791,Polavaram,IN-AP,15.753511,79.962484,
517,Prakasam,IN-AP,15.616202,79.515203,
515,Sri Potti Sriramulu Nellore,IN-AP,14.418363,79.738935,
754,Sri Sathya Sai,IN-AP,15.753511,79.962484,
519,Srikakulam,IN-AP,18.597701,84.022731,
752,Tirupati,IN-AP,15.753511,79.962484,
520,Visakhapatnam,IN-AP,17.893416,82.693925,Vizag;Waltair
521,Vizianagaram,IN-AP,18.472878,83.385198,
523,West Godavari,IN-AP,16.931401,81.387360,
504,Y.S.R. Kadapa,IN-AP,14.463753,78.780374,
628,Anjaw,IN-AR,28.066616,96.856247,
787,Bichom,IN-AR,28.035268,94.673960,
229,Changlang,IN-AR,27.369957,96.353040,
230,Dibang Valley,IN-AR,28.868333,95.909961,
231,East Kameng,IN-AR,27.587861,92.917506,
232,East Siang,IN-AR,28.048218,95.354000,
718,Kamle,IN-AR,27.741518,94.078176,
786,Keyi Panyor,IN-AR,28.035268,94.673960,
677,Kra Daadi,IN-AR,28.017789,93.672960,
233,Kurung Kumey,IN-AR,28.002616,93.206931,
724,Leparada,IN-AR,27.925491,94.716086,
234,Lohit,IN-AR,27.929436,96.300479,
666,Longding,IN-AR,26.855201,95.327659,
235,Lower Dibang Valley,IN-AR,28.254737,95.821628,
719,Lower Siang,IN-AR,27.775244,94.694459,
236,Lower Subansiri,IN-AR,27.588340,93.776522,
678,Namsai,IN-AR,27.701176,96.043183,
723,Pakke Kessang,IN-AR,27.105402,93.035255,
237,Papum Pare,IN-AR,27.270137,93.596281,
725,Shi Yomi,IN-AR,28.676965,94.260983,
679,Siang,IN-AR,28.404385,94.808912,
238,Tawang,IN-AR,27.662208,91.965169,
239,Tirap,IN-AR,27.024225,95.543181,
240,Upper Siang,IN-AR,28.832949,94.915294,
241,Upper Subansiri,IN-AR,28.289938,93.929551,
242,West Kameng,IN-AR,27.291857,92.393051,
243,West Siang,IN-AR,28.159942,94.613450,
739,Bajali,IN-AS,26.355278,92.827110,
616,Baksa,IN-AS,26.660208,91.351220,
280,Barpeta,IN-AS,26.341730,91.003652,
705,Biswanath,IN-AS,26.812104,93.312825,
281,Bongaigaon,IN-AS,26.354045,90.614044,
282,Cachar,IN-AS,24.812469,92.854835,
708,Charaideo,IN-AS,27.067765,95.059768,
612,Chirang,IN-AS,26.659673,90.595862,
283,Darrang,IN-AS,26.447690,92.029452,
284,Dhemaji,IN-AS,27.589777,94.774961,
285,Dhubri,IN-AS,26.142595,90.042012,
286,Dibrugarh,IN-AS,27.366986,95.053106,
299,Dima Hasao,IN-AS,25.377940,93.030966,
287,Goalpara,IN-AS,26.050242,90.607466,
288,Golaghat,IN-AS,26.443087,93.831353,
289,Hailakandi,IN-AS,24.497097,92.587787,
709,Hojai,IN-AS,25.978201,92.979926,
290,Jorhat,IN-AS,26.695491,94.276417,
291,Kamrup,IN-AS,26.100380,91.416295,
618,Kamrup Metro,IN-AS,26.128528,91.891940,
292,Karbi Anglong,IN-AS,26.156857,93.404795,
294,Kokrajhar,IN-AS,26.492770,90.118799,
295,Lakhimpur,IN-AS,27.174006,94.140707,
706,Majuli,IN-AS,26.938190,94.171745,
296,Marigaon,IN-AS,26.281812,92.284050,
297,Nagaon,IN-AS,26.362398,92.753571,
298,Nalbari,IN-AS,26.370536,91.382421,
300,Sivasagar,IN-AS,26.970450,94.664944,
301,Sonitpur,IN-AS,26.758534,92.651006,
